Time,Date,Activity,Market,Direction,Quantity,Price,Currency,Consideration,Commission,Charges,Cost/Proceeds,Conversion rate,Order type,Venue ID,Settled?,Settlement date,Order ID
1:24:06,17/09/2020,TRADE,Webjet Ltd,BUY,572,4.07,AUD,-2328.04,-4.54,-0.45,-2333.03,1,LIMIT,XOFF,N,21/09/2020,M8D48:1076494~1271
1:16:24,16/09/2020,TRADE,NEXTDC Ltd,SELL,-202,11.58,AUD,2339.16,-4.54,-0.45,-2334.17,1,LIMIT,XOFF,Y,18/09/2020,M8D48:1076493~1147
1:31:38,8/09/2020,TRADE,Mesoblast Limited,BUY,497,4.77,AUD,-2370.69,-4.54,-0.45,-2375.68,1,LIMIT,XOFF,Y,10/09/2020,M8D48:1068445~1544
1:30:52,8/09/2020,TRADE,Webjet Ltd,SELL,-600,3.95,AUD,2370,-4.54,-0.45,-2365.01,1,LIMIT,XOFF,Y,10/09/2020,M8D48:1068449~1600
1:07:35,4/09/2020,TRADE,NEXTDC Ltd,BUY,202,11.33,AUD,-2288.66,-4.54,-0.45,-2293.65,1,LIMIT,XOFF,Y,8/09/2020,M8D48:1057959~1496
2:45,3/09/2020,TRADE,Westpac Banking Corp,SELL,-131,17.62,AUD,2308.22,-4.54,-0.45,-2303.23,1,LIMIT,XOFF,Y,7/09/2020,M8D48:1056065~2298
2:22:36,1/09/2020,TRADE,Westpac Banking Corp,BUY,131,17,AUD,-2227,-4.54,-0.45,-2231.99,1,LIMIT,XOFF,Y,3/09/2020,M8D48:1056063~1842
1:08:29,31/08/2020,TRADE,NEXTDC Ltd,SELL,-184,12.17,AUD,2239.28,-7.27,-0.73,-2231.28,1,LIMIT,XOFF,Y,2/09/2020,M8D48:1053933~817
2:18:12,28/08/2020,TRADE,NEXTDC Ltd,BUY,184,11.85,AUD,-2180.4,-7.27,-0.73,-2188.4,1,LIMIT,XOFF,Y,1/09/2020,M8D48:1051214~2897
1:44:39,27/08/2020,TRADE,NEXTDC Ltd,SELL,-180,12.22,AUD,2199.6,-7.27,-0.73,-2191.6,1,LIMIT,XOFF,Y,31/08/2020,M8D48:1051210~2898
3:31:44,25/08/2020,TRADE,NEXTDC Ltd,BUY,180,11.72,AUD,-2109.6,-7.27,-0.73,-2117.6,1,LIMIT,XOFF,Y,27/08/2020,M8D48:1048378~4394
1:55:02,25/08/2020,TRADE,Westpac Banking Corp,SELL,-120,17.725,AUD,2127,-7.27,-0.73,-2119,1,LIMIT,XOFF,Y,27/08/2020,M8D48:1048386~2752
